home_team,away_team,claude_home,claude_away,nota
Mexico,Czech Republic,2,1,Mexico ya clasificado y lider; rota algo pero la localia del Azteca pesa; Chequia (1pt) obligada se expone
South Africa,South Korea,1,2,Corea (3pts) avanza con un punto y es superior; Sudafrica (1pt) necesita ganar pero no le alcanza el plantel
Canada,Switzerland,1,1,Duelo por el 1er puesto; a ambos (4pts) un empate los deja comodos rumbo a octavos; reparto plausible
Bosnia and Herzegovina,Qatar,2,0,"Bosnia (1pt) obligada y con Dzeko marca; Qatar (1pt, DG-6) ya goleado y sin opciones"
Scotland,Brazil,1,2,DIFIERE: Brasil DIEZMADO (Neymar/Rodrygo/Estevao fuera) no golea pero su oficio alcanza; Escocia obligada arriesga y se expone
Morocco,Haiti,2,0,Marruecos (4pts) gana y asegura el grupo; Haiti (0pts) ya eliminado
United States,Turkey,2,1,USA ya clasificado y anfitrion cierra en casa aun rotando; Turquia (0pts) eliminada descuenta
Paraguay,Australia,1,1,DIFIERE: final por el 2do puesto (ambos 3pts); el empate deja a los dos vivos como terceros; duelo tenso y parejo
Curaçao,Ivory Coast,0,2,"Costa de Marfil (3pts) gana y clasifica; Curacao (1pt, DG-6) colista ya casi sin opciones"
Ecuador,Germany,1,1,DIFIERE: Alemania ya clasificada como lider ROTA (sin Schlotterbeck); Ecuador solido atras araña el punto que pelea por tercero
Japan,Sweden,2,1,Choque por el liderato entre dos goleadores; Japon (4pts) en forma se impone; Suecia (3pts) cae a pelear tercero
Tunisia,Netherlands,0,2,"Paises Bajos (4pts) cierra arriba aun sin Timber; Tunez (0pts, DG-8) eliminado y goleado"
Egypt,Iran,1,1,Grupo apretado: a Egipto (4pts) con Salah el empate le basta para avanzar; Iran (2pts) empuja y se reparten
New Zealand,Belgium,1,2,Belgica (2pts) OBLIGADA a ganar para no firmar un fracaso; NZ (1pt) pelea pero el plantel belga resuelve
Cape Verde,Saudi Arabia,1,0,"Final por el tercer puesto; Cabo Verde (2pts) se atrinchera y golpea; Arabia (1pt, DG-4) necesitaba mas"
Uruguay,Spain,1,2,Espana (4pts) con Yamal apto va por el 1er puesto y su clase pesa; Uruguay (2pts) vende cara su ultima opcion
Norway,France,1,2,Ambos ya clasificados: duelo por el 1er puesto (Haaland vs Mbappe); Francia tiene mas plantel y se queda el grupo
Senegal,Iraq,2,0,Ambos eliminados (0pts) juegan por orgullo; Senegal es muy superior
Algeria,Austria,1,1,"DIFIERE: final por el 2do puesto (ambos 3pts); duelo tenso, el empate los deja a ambos peleando como terceros"
Jordan,Argentina,0,2,Argentina ya clasificada ROTA (Messi puede descansar); gana con comodidad sin golear; Jordania (0pts) eliminada
Colombia,Portugal,1,1,Choque por el 1er puesto entre dos ya practicamente clasificados; ambos pueden especular; reparto plausible
DR Congo,Uzbekistan,1,0,"DR Congo (1pt) mantiene una minima chance de tercero y gana ajustado; Uzbekistan (0pts, DG-7) eliminado"
Panama,England,0,2,Inglaterra (4pts) cierra como lider; Panama (0pts) ya eliminado
Croatia,Ghana,2,1,Croacia (3pts) OBLIGADA a ganar saca su clase y oficio; Ghana (4pts) avanzaba con el empate pero cae; Modric manda
