home_team,away_team,claude_home,claude_away,nota
South Africa,Canada,0,1,"Canada anfitrion en forma resolvio por la minima, como anticipaba el mata-mata cerrado"
Brazil,Japan,2,1,"Brasil paso pero Japon lo complico; sin Neymar/Rodrygo no goleo, tal como temia"
Germany,Paraguay,1,1,"ACERTE el riesgo: Paraguay ultradefensivo llevo a Alemania a penales y dio el golpe. Es el patron del torneo: los favoritos europeos caen ante rivales ordenados y fisicos"
Netherlands,Morocco,1,1,"ACERTE: Marruecos, clase mundial, elimino a Paises Bajos en penales. Segundo gigante europeo que cae con el mismo molde"
Ivory Coast,Norway,1,2,"Mi pick: Noruega. Dark horse real (gano 8/8 en clasificatorias y vencio a Italia dos veces) con Haaland en racha. Costa de Marfil es fisica, pero el plantel noruego pesa mas; si se cierra, prorroga"
France,Sweden,2,0,"Francia es la mas solida del torneo (9/9 puntos, +8 en grupos), plantel de otra categoria. Suecia golea pero su defensa cede. Pocas dudas aqui"
Mexico,Ecuador,1,1,"OJO, PUNTO QUE QUIZA NO VES: los modelos de xG dan FAVORITO a ECUADOR, no a Mexico, pese a la localia. Ecuador casi no encajo en grupos (defensa de elite) y su hinchada ya fue clave vs Alemania. Veo un 0-0/1-1 que se va a penales; no me fio del favoritismo local"
England,DR Congo,2,0,"Inglaterra muy superior. RDCongo llega entonado (remonto 3-1 a Uzbekistan) y es fisico, pero el salto de nivel es grande. Pasa Inglaterra, aunque sin brillar (su sello en este torneo)"
United States,Bosnia and Herzegovina,1,0,"USA es de los dark horses reales (golearon a Paraguay), de local y motivado. Bosnia con Dzeko pelea, pero veo a USA por la minima en un partido mas tenso que comodo"
Belgium,Senegal,1,1,"EL UPSET MAS PROBABLE DE LA JORNADA. Senegal es fisicamente superior y viene en racha (5-0 a Iraq); la generacion belga ya es veterana. Ambos atacan y se exponen. Me inclino por Senegal en penales/prorroga: es mi sorpresa marcada"
Spain,Austria,2,0,"Espana con Yamal es netamente superior y candidata al titulo; Austria es ordenada pero sin recursos para frenarla. Pocas dudas"
Portugal,Croatia,1,1,"Trampa clasica: Croacia (Modric, su ultima danza) SIEMPRE compite en mata-mata y arrastra a los favoritos a penales. Portugal con CR7 es algo superior, pero esto huele a prorroga; no lo veo comodo"
Switzerland,Algeria,1,1,"Suiza es favorita, pero Argelia es fisica y ordenada, justo el perfil que ya elimino a Alemania y Paises Bajos. Duelo tactico y cerrado, con riesgo real de penales. Suiza ligeramente arriba, sin garantias"
Australia,Egypt,1,1,"Parejisimo. Australia sorprendio (vencio a Turquia, la dark horse pretorneo) y corre los 90 minutos; Egipto depende mucho de Salah. 50-50 que veo en penales; favor a quien mantenga la calma"
Argentina,Cape Verde,2,0,"Argentina tiene el camino MAS despejado del cuadro y con Messi gestiona los tiempos. Respeto a Cabo Verde (la historia del torneo: 525 mil habitantes, empato a Espana), pero el salto a una Argentina en modo eliminacion es enorme. Gana sin goleada"
Colombia,Ghana,2,0,"Colombia fue de lo mejor de la fase: lider invicto y freno a Portugal (0-0). Ghana es fisica pero sin gol. La veo solvente: Colombia es mi tapada para romper el lado Argentina-Espana del cuadro"
